id,order_id,product_id,quantity,created_at
1,1,7,2,2025-05-29 04:41:58.607883
2,1,9,1,2025-05-29 04:41:58.607883
3,1,9,1,2025-05-29 04:41:58.607883
4,2,8,3,2025-05-08 20:41:58.595642
5,2,2,4,2025-05-08 20:41:58.595642
6,3,5,3,2025-05-28 09:41:58.620738
7,3,5,3,2025-05-28 09:41:58.620738
8,4,4,2,2025-06-13 17:41:58.605073
9,4,3,1,2025-06-13 17:41:58.605073
10,5,10,1,2025-04-04 09:41:58.594880
11,6,5,5,2025-03-27 10:41:58.602431
12,7,8,4,2025-06-29 11:41:58.608990
13,8,3,2,2025-07-02 12:41:58.600533
14,8,7,5,2025-07-02 12:41:58.600533
15,8,5,3,2025-07-02 12:41:58.600533
16,8,8,2,2025-07-02 12:41:58.600533
17,9,6,5,2025-05-09 16:41:58.601415
18,9,4,5,2025-05-09 16:41:58.601415
19,9,3,5,2025-05-09 16:41:58.601415
20,9,6,1,2025-05-09 16:41:58.601415
21,10,6,4,2024-12-22 06:41:58.587807
22,10,9,1,2024-12-22 06:41:58.587807
23,11,9,3,2025-06-29 17:41:58.621750
24,11,4,5,2025-06-29 17:41:58.621750
25,11,5,3,2025-06-29 17:41:58.621750
26,11,3,4,2025-06-29 17:41:58.621750
27,12,9,1,2025-08-18 10:41:58.602919
28,12,1,2,2025-08-18 10:41:58.602919
29,13,4,2,2025-04-10 18:41:58.614877
30,14,4,4,2025-03-24 06:41:58.606288
31,15,9,1,2025-05-19 06:41:58.614512
32,15,5,4,2025-05-19 06:41:58.614512
33,16,8,5,2025-07-22 14:41:58.605073
34,17,10,4,2025-03-24 10:41:58.592741
35,17,2,2,2025-03-24 10:41:58.592741
36,17,3,3,2025-03-24 10:41:58.592741
37,17,5,5,2025-03-24 10:41:58.592741
38,18,9,1,2025-05-19 18:41:58.593085
39,18,1,3,2025-05-19 18:41:58.593085
40,19,7,5,2025-05-22 16:41:58.609997
41,19,1,3,2025-05-22 16:41:58.609997
42,20,7,4,2025-09-08 15:41:58.615078
43,21,4,1,2024-12-19 09:41:58.587807
44,22,9,4,2025-05-27 10:41:58.592923
45,22,9,5,2025-05-27 10:41:58.592923
46,23,7,1,2025-03-21 05:41:58.609429
47,23,8,1,2025-03-21 05:41:58.609429
48,24,4,3,2025-07-17 04:41:58.621472
49,24,9,2,2025-07-17 04:41:58.621472
50,25,8,1,2025-08-10 06:41:58.589644
51,25,7,3,2025-08-10 06:41:58.589644
52,26,1,1,2025-07-13 17:41:58.589873
53,26,2,3,2025-07-13 17:41:58.589873
54,26,2,5,2025-07-13 17:41:58.589873
55,27,3,4,2025-01-12 08:41:58.594535
56,27,5,1,2025-01-12 08:41:58.594535
57,27,1,2,2025-01-12 08:41:58.594535
58,27,10,2,2025-01-12 08:41:58.594535
59,28,3,2,2025-01-06 16:41:58.588039
60,28,8,2,2025-01-06 16:41:58.588039
61,28,5,1,2025-01-06 16:41:58.588039
62,29,9,5,2025-04-23 09:41:58.609997
63,29,2,3,2025-04-23 09:41:58.609997
64,29,1,2,2025-04-23 09:41:58.609997
65,29,7,1,2025-04-23 09:41:58.609997
66,30,9,4,2024-12-21 05:41:58.613944
67,31,10,2,2025-04-18 17:41:58.600784
68,32,7,1,2025-03-20 06:41:58.598403
69,32,9,2,2025-03-20 06:41:58.598403
70,32,9,4,2025-03-20 06:41:58.598403
71,32,6,3,2025-03-20 06:41:58.598403
72,33,9,2,2025-01-15 14:41:58.619380
73,33,2,4,2025-01-15 14:41:58.619380
74,33,10,1,2025-01-15 14:41:58.619380
75,34,9,3,2025-06-06 19:41:58.588697
76,34,3,3,2025-06-06 19:41:58.588697
77,35,2,3,2025-03-24 09:41:58.603408
78,35,8,4,2025-03-24 09:41:58.603408
79,35,10,4,2025-03-24 09:41:58.603408
80,35,8,3,2025-03-24 09:41:58.603408
81,36,5,3,2025-05-27 15:41:58.620107
82,36,3,4,2025-05-27 15:41:58.620107
83,36,3,2,2025-05-27 15:41:58.620107
84,36,1,5,2025-05-27 15:41:58.620107
85,37,1,3,2025-05-02 05:41:58.605515
86,37,5,5,2025-05-02 05:41:58.605515
87,37,5,4,2025-05-02 05:41:58.605515
88,38,2,1,2025-08-13 14:41:58.620250
89,39,9,2,2025-05-22 17:41:58.616072
90,39,5,1,2025-05-22 17:41:58.616072
91,39,3,1,2025-05-22 17:41:58.616072
92,40,8,3,2025-04-01 18:41:58.594107
93,40,2,4,2025-04-01 18:41:58.594107
94,40,6,2,2025-04-01 18:41:58.594107
95,40,8,1,2025-04-01 18:41:58.594107
96,41,3,1,2025-02-21 08:41:58.592741
97,41,4,3,2025-02-21 08:41:58.592741
98,41,2,1,2025-02-21 08:41:58.592741
99,42,2,1,2025-02-03 17:41:58.612266
100,42,7,5,2025-02-03 17:41:58.612266
101,43,8,2,2025-04-27 13:41:58.613094
102,43,7,5,2025-04-27 13:41:58.613094
103,43,1,4,2025-04-27 13:41:58.613094
104,44,1,2,2025-02-08 16:41:58.601233
105,44,3,2,2025-02-08 16:41:58.601233
106,44,6,5,2025-02-08 16:41:58.601233
107,45,1,5,2025-05-06 11:41:58.588697
108,45,4,4,2025-05-06 11:41:58.588697
109,45,6,5,2025-05-06 11:41:58.588697
110,45,6,1,2025-05-06 11:41:58.588697
111,46,1,3,2025-07-15 10:41:58.611824
112,46,4,5,2025-07-15 10:41:58.611824
113,47,9,4,2025-07-09 05:41:58.591159
114,47,7,5,2025-07-09 05:41:58.591159
115,48,3,5,2025-02-26 04:41:58.610594
116,48,6,1,2025-02-26 04:41:58.610594
117,48,2,4,2025-02-26 04:41:58.610594
118,49,10,4,2025-03-29 19:41:58.609799
119,49,5,3,2025-03-29 19:41:58.609799
120,49,9,4,2025-03-29 19:41:58.609799
121,49,6,1,2025-03-29 19:41:58.609799
122,50,2,3,2024-12-20 13:41:58.612850
123,50,6,3,2024-12-20 13:41:58.612850
124,51,8,3,2025-03-05 19:41:58.596213
125,51,7,3,2025-03-05 19:41:58.596213
126,52,7,5,2025-06-10 16:41:58.620394
127,52,2,5,2025-06-10 16:41:58.620394
128,52,3,4,2025-06-10 16:41:58.620394
129,53,6,1,2025-07-08 18:41:58.603654
130,53,6,5,2025-07-08 18:41:58.603654
131,54,8,2,2025-03-21 07:41:58.600533
132,55,2,5,2025-07-07 10:41:58.593277
133,56,5,3,2025-02-17 04:41:58.620107
134,57,6,5,2025-06-05 17:41:58.619270
135,58,7,2,2025-05-07 06:41:58.605864
136,59,10,1,2025-04-13 10:41:58.611261
137,59,1,3,2025-04-13 10:41:58.611261
138,60,5,1,2025-05-01 20:41:58.590928
139,60,10,3,2025-05-01 20:41:58.590928
140,60,7,5,2025-05-01 20:41:58.590928
141,60,6,4,2025-05-01 20:41:58.590928
142,61,10,2,2025-05-20 08:41:58.601598
143,61,10,4,2025-05-20 08:41:58.601598
144,62,5,3,2025-06-28 17:41:58.590817
145,62,7,3,2025-06-28 17:41:58.590817
146,63,6,3,2025-05-19 14:41:58.611824
147,64,3,1,2025-04-21 09:41:58.590435
148,64,6,1,2025-04-21 09:41:58.590435
149,65,4,4,2025-05-15 06:41:58.597644
150,66,4,3,2025-07-21 13:41:58.610171
151,66,6,1,2025-07-21 13:41:58.610171
152,67,1,1,2025-05-29 20:41:58.600979
153,68,8,3,2025-02-17 09:41:58.588592
154,68,2,4,2025-02-17 09:41:58.588592
155,69,6,5,2025-01-16 04:41:58.610594
156,69,4,4,2025-01-16 04:41:58.610594
157,69,2,3,2025-01-16 04:41:58.610594
158,69,3,2,2025-01-16 04:41:58.610594
159,70,4,1,2025-04-12 05:41:58.592433
160,70,4,5,2025-04-12 05:41:58.592433
161,71,5,5,2025-01-31 13:41:58.611261
162,72,7,2,2025-04-12 04:41:58.588916
163,72,6,5,2025-04-12 04:41:58.588916
164,73,6,3,2025-03-09 12:41:58.588592
165,73,10,1,2025-03-09 12:41:58.588592
166,73,5,4,2025-03-09 12:41:58.588592
167,73,5,1,2025-03-09 12:41:58.588592
168,74,4,1,2025-06-11 06:41:58.589775
169,75,2,5,2025-02-20 06:41:58.602187
170,75,10,5,2025-02-20 06:41:58.602187
171,76,7,3,2025-05-21 12:41:58.619861
172,76,5,4,2025-05-21 12:41:58.619861
173,76,4,4,2025-05-21 12:41:58.619861
174,76,10,2,2025-05-21 12:41:58.619861
175,77,5,4,2025-03-20 20:41:58.597402
176,77,1,1,2025-03-20 20:41:58.597402
177,77,6,2,2025-03-20 20:41:58.597402
178,78,10,2,2025-02-13 06:41:58.588592
179,78,6,1,2025-02-13 06:41:58.588592
180,78,5,4,2025-02-13 06:41:58.588592
181,79,5,1,2025-04-15 04:41:58.605515
182,80,7,3,2025-01-10 18:41:58.619633
183,80,6,3,2025-01-10 18:41:58.619633
184,81,4,5,2025-08-23 04:41:58.617938
185,81,10,5,2025-08-23 04:41:58.617938
186,81,4,4,2025-08-23 04:41:58.617938
187,82,4,2,2025-05-01 19:41:58.592543
188,82,9,5,2025-05-01 19:41:58.592543
189,83,2,5,2025-02-04 07:41:58.599823
190,83,7,3,2025-02-04 07:41:58.599823
191,83,1,3,2025-02-04 07:41:58.599823
192,84,7,3,2025-05-03 14:41:58.619270
193,84,5,2,2025-05-03 14:41:58.619270
194,84,7,5,2025-05-03 14:41:58.619270
195,84,2,1,2025-05-03 14:41:58.619270
196,85,6,2,2025-03-19 10:41:58.616072
197,86,9,2,2025-02-23 14:41:58.615328
198,86,6,4,2025-02-23 14:41:58.615328
199,86,10,4,2025-02-23 14:41:58.615328
200,86,6,2,2025-02-23 14:41:58.615328
201,87,9,3,2025-05-25 13:41:58.600282
202,87,4,3,2025-05-25 13:41:58.600282
203,87,7,2,2025-05-25 13:41:58.600282
204,88,7,2,2025-05-22 08:41:58.616072
205,89,2,4,2025-05-26 06:41:58.592923
206,89,8,4,2025-05-26 06:41:58.592923
207,89,7,5,2025-05-26 06:41:58.592923
208,90,7,4,2025-07-13 16:41:58.620738
209,90,5,4,2025-07-13 16:41:58.620738
210,91,6,1,2025-04-28 09:41:58.600784
211,91,5,3,2025-04-28 09:41:58.600784
212,91,10,5,2025-04-28 09:41:58.600784
213,91,7,3,2025-04-28 09:41:58.600784
214,92,9,4,2025-06-18 11:41:58.589048
215,92,2,5,2025-06-18 11:41:58.589048
216,92,7,2,2025-06-18 11:41:58.589048
217,92,2,5,2025-06-18 11:41:58.589048
218,93,7,1,2025-05-31 13:41:58.593851
219,93,1,5,2025-05-31 13:41:58.593851
220,93,4,2,2025-05-31 13:41:58.593851
221,94,9,4,2025-03-10 05:41:58.614658
222,94,1,5,2025-03-10 05:41:58.614658
223,94,4,2,2025-03-10 05:41:58.614658
224,94,10,5,2025-03-10 05:41:58.614658
225,95,7,4,2025-08-02 05:41:58.590817
226,95,7,2,2025-08-02 05:41:58.590817
227,95,1,2,2025-08-02 05:41:58.590817
228,96,2,2,2025-04-07 11:41:58.588697
229,96,10,5,2025-04-07 11:41:58.588697
230,97,4,1,2025-04-19 05:41:58.595642
231,97,6,1,2025-04-19 05:41:58.595642
232,98,10,5,2025-07-14 04:41:58.599415
233,98,2,4,2025-07-14 04:41:58.599415
234,98,5,5,2025-07-14 04:41:58.599415
235,98,8,4,2025-07-14 04:41:58.599415
236,99,3,4,2025-03-21 04:41:58.592543
237,99,7,4,2025-03-21 04:41:58.592543
238,100,1,2,2025-03-27 05:41:58.606460
239,101,5,5,2025-04-01 20:41:58.622556
240,101,5,5,2025-04-01 20:41:58.622556
241,101,9,5,2025-04-01 20:41:58.622556
242,101,10,5,2025-04-01 20:41:58.622556
243,102,7,3,2025-06-25 06:41:58.607710
244,102,9,4,2025-06-25 06:41:58.607710
245,102,2,3,2025-06-25 06:41:58.607710
246,102,9,3,2025-06-25 06:41:58.607710
